URL followed by	REASON
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Definitions.do?Portal=amd&KeywordPath=%5BKeyword%3D%26%23039%3Bglaciology%26%23039%3B%5D&NumericId=64791&MetadataType=0&lbnode=mdlb4"	Http code=403
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Definitions.do?Portal=amd&KeywordPath=%5BParameters%3A+Topic%3D%26%23039%3BSUN-EARTH+INTERACTIONS%26%23039%3B%2C+Term%3D%26%23039%3BSOLAR+ENERGETIC+PARTICLE+PROPERTIES%26%23039%3B%2C+Variable_Level_1%3D%26%23039%3BENERGY+DEPOSITION%26%23039%3B%5D&NumericId=64143&MetadataType=0&lbnode=mdlb4"	Http code=403
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Definitions.do?Portal=amd&KeywordPath=%5BParameters%3A+Topic%3D%26%23039%3BSUN-EARTH+INTERACTIONS%26%23039%3B%2C+Term%3D%26%23039%3BSOLAR+ENERGETIC+PARTICLE+PROPERTIES%26%23039%3B%2C+Variable_Level_1%3D%26%23039%3BENERGY+DEPOSITION%26%23039%3B%5D&NumericId=64143&MetadataType=0&lbnode=mdlb4"	Http code=403
URL: "http://nsidc.org/noaa/iicwg/presentations/IICWG_2006/4_Thursday/Afternoon/"	Http code=403
URL: "http://nsidc.org/arcticseaicenews/2011/01/repeat-of-a-negative-arctic-oscillation-leads-to-warm-arctic-low-sea-ice-extent/"	exception(16)
URL: "http://nsidc.org/arcticseaicenews/2012/08/a-most-interesting-arctic-summer/figure5-6/"	exception(16)
URL: "http://nsidc.org/data/docs/daac/glas_altimetry/i_attflg1.html"	exception(16)
URL: "http://nsidc.org/icelights/2011/02/23/is-dirty-air-adding-to-climate-change-2/"	exception(16)
URL: "http://nsidc.org/news/newsroom/2007_seaiceminimum/20071001_pressrelease.html"	exception(16)
URL: "http://nsidc.org/noaa/iicwg/presentations/IICWG_2004/april22/"	exception(16)
URL: "http://nsidc.org/noaa/iicwg/presentations/IICWG_2007/backup_of_iicwg_viii_meeting_summary.wbk"	exception(16)
URL: "http://nsidc.org/the-drift/data-set/icebridge/page/7/"	exception(16)
URL: "http://nsidc.org/the-drift/data-set/noaa/page/6/"	exception(16)
URL: "http://nsidc.org/the-drift/data-update/nasa-icebridge-paroscientific-s-1000-l1b-pressure-altimeter-time-tagged-air-pressure-data-for-2012-antarctica-and-2009-2010-and-2011-replacement-data-now-available-at-nsidc/"	exception(16)
URL: "http://nsidc.org/the-drift/data-update/nasa-icebridge-reprocessed-dms-l1b-2009-antarctica-data-now-available-at-nsidc/"	exception(16)
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Supplementals.do?Portal=amd&KeywordPath=Projects&NumericId=12474&MetadataType=0&lbnode=mdlb4"	exception(16)
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Supplementals.do?Portal=amd&KeywordPath=Projects&NumericId=8473&MetadataType=0&lbnode=mdlb3"	exception(16)
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Titles.do?KeywordPath=&Portal=GCMD&clientId=null&Output=atom"	exception(16)
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Titles.do?KeywordPath=Parameters&Portal=GCMD&clientId=null&Output=atom"	exception(16)
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Titles.do?Portal=GCMD_legacy&KeywordPath=DataCenters%7CGOVERNMENT+AGENCIES-U.S.+FEDERAL+AGENCIES&MetadataType=0&lbnode=mdlb4"	exception(16)
